model,field,precision,recall,f1
deepseek-r1_1-5b,document_id.number,0.2105,0.2,0.2051
deepseek-r1_1-5b,document_id.ig,0.0769,0.025,0.0377
deepseek-r1_1-5b,contracting_party.name,0.0556,0.05,0.0526
deepseek-r1_1-5b,contracting_party.cpf_cnpj,0.1351,0.125,0.1299
deepseek-r1_1-5b,contracted_party.name,0.0556,0.05,0.0526
deepseek-r1_1-5b,contracted_party.cpf_cnpj,0.0541,0.05,0.0519
deepseek-r1_1-5b,validity,0.0263,0.025,0.0256
deepseek-r1_1-5b,global_value,0.0811,0.075,0.0779
deepseek-r1_1-5b,signature.date,0.1429,0.1053,0.1212
deepseek-r1_1-5b,signature.signatories.contracting_party,0.0588,0.05,0.0541
deepseek-r1_1-5b,signature.signatories.contracted_party,0.0882,0.075,0.0811
deepseek-r1_1-5b,legal_unit.name,0.1429,0.125,0.1333
deepseek-r1_1-5b,legal_unit.role,0.6774,0.525,0.5915
deepseek-r1_7b,document_id.number,0.6579,0.625,0.641
deepseek-r1_7b,document_id.ig,0.7931,0.575,0.6667
deepseek-r1_7b,contracting_party.name,0.725,0.725,0.725
deepseek-r1_7b,contracting_party.cpf_cnpj,0.9487,0.925,0.9367
deepseek-r1_7b,contracted_party.name,0.925,0.925,0.925
deepseek-r1_7b,contracted_party.cpf_cnpj,0.9487,0.925,0.9367
deepseek-r1_7b,validity,0.0278,0.025,0.0263
deepseek-r1_7b,global_value,0.95,0.95,0.95
deepseek-r1_7b,signature.date,0.9615,0.641,0.7692
deepseek-r1_7b,signature.signatories.contracting_party,0.8718,0.85,0.8608
deepseek-r1_7b,signature.signatories.contracted_party,0.9231,0.9,0.9114
deepseek-r1_7b,legal_unit.name,0.825,0.825,0.825
deepseek-r1_7b,legal_unit.role,0.9231,0.9,0.9114
gemma2_2b,document_id.number,0.625,0.625,0.625
gemma2_2b,document_id.ig,1.0,0.8,0.8889
gemma2_2b,contracting_party.name,0.875,0.875,0.875
gemma2_2b,contracting_party.cpf_cnpj,1.0,1.0,1.0
gemma2_2b,contracted_party.name,0.975,0.975,0.975
gemma2_2b,contracted_party.cpf_cnpj,1.0,1.0,1.0
gemma2_2b,validity,0.95,0.95,0.95
gemma2_2b,global_value,1.0,1.0,1.0
gemma2_2b,signature.date,1.0,0.375,0.5455
gemma2_2b,signature.signatories.contracting_party,1.0,1.0,1.0
gemma2_2b,signature.signatories.contracted_party,1.0,1.0,1.0
gemma2_2b,legal_unit.name,0.975,0.975,0.975
gemma2_2b,legal_unit.role,1.0,1.0,1.0
gemma3_1b,document_id.number,0.0,0.0,0.0
gemma3_1b,document_id.ig,0.0,0.0,0.0
gemma3_1b,contracting_party.name,0.1538,0.15,0.1519
gemma3_1b,contracting_party.cpf_cnpj,0.2051,0.2,0.2025
gemma3_1b,contracted_party.name,0.1795,0.175,0.1772
gemma3_1b,contracted_party.cpf_cnpj,0.2083,0.125,0.1562
gemma3_1b,validity,0.0857,0.075,0.08
gemma3_1b,global_value,0.069,0.05,0.058
gemma3_1b,signature.date,0.04,0.0263,0.0317
gemma3_1b,signature.signatories.contracting_party,0.0263,0.025,0.0256
gemma3_1b,signature.signatories.contracted_party,0.0,0.0,0.0
gemma3_1b,legal_unit.name,0.0294,0.025,0.027
gemma3_1b,legal_unit.role,0.2,0.175,0.1867
gemma3_270m,document_id.number,0.0,0.0,0.0
gemma3_270m,document_id.ig,0.0,0.0,0.0
gemma3_270m,contracting_party.name,0.0,0.0,0.0
gemma3_270m,contracting_party.cpf_cnpj,0.0,0.0,0.0
gemma3_270m,contracted_party.name,0.0,0.0,0.0
gemma3_270m,contracted_party.cpf_cnpj,0.0,0.0,0.0
gemma3_270m,validity,0.0,0.0,0.0
gemma3_270m,global_value,0.0,0.0,0.0
gemma3_270m,signature.date,0.1154,0.0789,0.0937
gemma3_270m,signature.signatories.contracting_party,0.0,0.0,0.0
gemma3_270m,signature.signatories.contracted_party,0.0,0.0,0.0
gemma3_270m,legal_unit.name,0.0,0.0,0.0
gemma3_270m,legal_unit.role,0.0741,0.05,0.0597
gemma3_4b,document_id.number,0.75,0.75,0.75
gemma3_4b,document_id.ig,1.0,0.75,0.8571
gemma3_4b,contracting_party.name,0.85,0.85,0.85
gemma3_4b,contracting_party.cpf_cnpj,1.0,1.0,1.0
gemma3_4b,contracted_party.name,1.0,1.0,1.0
gemma3_4b,contracted_party.cpf_cnpj,1.0,1.0,1.0
gemma3_4b,validity,0.975,0.975,0.975
gemma3_4b,global_value,1.0,1.0,1.0
gemma3_4b,signature.date,0.9487,0.9737,0.961
gemma3_4b,signature.signatories.contracting_party,1.0,1.0,1.0
gemma3_4b,signature.signatories.contracted_party,1.0,1.0,1.0
gemma3_4b,legal_unit.name,1.0,1.0,1.0
gemma3_4b,legal_unit.role,1.0,1.0,1.0
llama3-2_1b,document_id.number,0.2308,0.225,0.2278
llama3-2_1b,document_id.ig,0.0833,0.025,0.0385
llama3-2_1b,contracting_party.name,0.475,0.475,0.475
llama3-2_1b,contracting_party.cpf_cnpj,0.675,0.675,0.675
llama3-2_1b,contracted_party.name,0.55,0.55,0.55
llama3-2_1b,contracted_party.cpf_cnpj,0.5897,0.575,0.5823
llama3-2_1b,validity,0.575,0.575,0.575
llama3-2_1b,global_value,0.425,0.425,0.425
llama3-2_1b,signature.date,0.1034,0.0769,0.0882
llama3-2_1b,signature.signatories.contracting_party,0.4,0.4,0.4
llama3-2_1b,signature.signatories.contracted_party,0.4359,0.425,0.4304
llama3-2_1b,legal_unit.name,0.25,0.25,0.25
llama3-2_1b,legal_unit.role,0.6,0.6,0.6
llama3-2_3b,document_id.number,0.975,0.975,0.975
llama3-2_3b,document_id.ig,1.0,0.325,0.4906
llama3-2_3b,contracting_party.name,0.75,0.75,0.75
llama3-2_3b,contracting_party.cpf_cnpj,0.9744,0.95,0.962
llama3-2_3b,contracted_party.name,0.95,0.95,0.95
llama3-2_3b,contracted_party.cpf_cnpj,1.0,0.9,0.9474
llama3-2_3b,validity,0.95,0.95,0.95
llama3-2_3b,global_value,1.0,1.0,1.0
llama3-2_3b,signature.date,1.0,0.25,0.4
llama3-2_3b,signature.signatories.contracting_party,0.975,0.975,0.975
llama3-2_3b,signature.signatories.contracted_party,0.9744,0.95,0.962
llama3-2_3b,legal_unit.name,1.0,1.0,1.0
llama3-2_3b,legal_unit.role,1.0,1.0,1.0
llama3_8b,document_id.number,1.0,1.0,1.0
llama3_8b,document_id.ig,1.0,0.675,0.806
llama3_8b,contracting_party.name,0.95,0.95,0.95
llama3_8b,contracting_party.cpf_cnpj,1.0,1.0,1.0
llama3_8b,contracted_party.name,1.0,1.0,1.0
llama3_8b,contracted_party.cpf_cnpj,1.0,1.0,1.0
llama3_8b,validity,0.975,0.975,0.975
llama3_8b,global_value,1.0,1.0,1.0
llama3_8b,signature.date,0.6522,0.3846,0.4839
llama3_8b,signature.signatories.contracting_party,1.0,1.0,1.0
llama3_8b,signature.signatories.contracted_party,1.0,1.0,1.0
llama3_8b,legal_unit.name,1.0,1.0,1.0
llama3_8b,legal_unit.role,1.0,1.0,1.0
mistral_7b,document_id.number,0.4,0.4,0.4
mistral_7b,document_id.ig,1.0,0.5,0.6667
mistral_7b,contracting_party.name,0.95,0.95,0.95
mistral_7b,contracting_party.cpf_cnpj,1.0,0.975,0.9873
mistral_7b,contracted_party.name,1.0,1.0,1.0
mistral_7b,contracted_party.cpf_cnpj,1.0,1.0,1.0
mistral_7b,validity,0.975,0.975,0.975
mistral_7b,global_value,1.0,1.0,1.0
mistral_7b,signature.date,0.5,0.5128,0.5063
mistral_7b,signature.signatories.contracting_party,1.0,1.0,1.0
mistral_7b,signature.signatories.contracted_party,1.0,1.0,1.0
mistral_7b,legal_unit.name,1.0,0.975,0.9873
mistral_7b,legal_unit.role,1.0,0.975,0.9873
qwen2-5_0-5b,document_id.number,0.475,0.475,0.475
qwen2-5_0-5b,document_id.ig,0.0,0.0,0.0
qwen2-5_0-5b,contracting_party.name,0.7,0.7,0.7
qwen2-5_0-5b,contracting_party.cpf_cnpj,0.95,0.95,0.95
qwen2-5_0-5b,contracted_party.name,0.9,0.9,0.9
qwen2-5_0-5b,contracted_party.cpf_cnpj,0.8,0.8,0.8
qwen2-5_0-5b,validity,0.675,0.675,0.675
qwen2-5_0-5b,global_value,0.7059,0.6,0.6486
qwen2-5_0-5b,signature.date,1.0,0.05,0.0952
qwen2-5_0-5b,signature.signatories.contracting_party,0.2368,0.225,0.2308
qwen2-5_0-5b,signature.signatories.contracted_party,0.4211,0.4,0.4103
qwen2-5_0-5b,legal_unit.name,0.6,0.6,0.6
qwen2-5_0-5b,legal_unit.role,0.975,0.975,0.975
qwen2-5_1-5b,document_id.number,0.675,0.675,0.675
qwen2-5_1-5b,document_id.ig,0.0,0.0,0.0
qwen2-5_1-5b,contracting_party.name,0.775,0.775,0.775
qwen2-5_1-5b,contracting_party.cpf_cnpj,1.0,1.0,1.0
qwen2-5_1-5b,contracted_party.name,0.85,0.85,0.85
qwen2-5_1-5b,contracted_party.cpf_cnpj,0.9737,0.925,0.9487
qwen2-5_1-5b,validity,0.95,0.95,0.95
qwen2-5_1-5b,global_value,1.0,1.0,1.0
qwen2-5_1-5b,signature.date,1.0,0.1,0.1818
qwen2-5_1-5b,signature.signatories.contracting_party,0.9,0.9,0.9
qwen2-5_1-5b,signature.signatories.contracted_party,0.9722,0.875,0.9211
qwen2-5_1-5b,legal_unit.name,0.85,0.85,0.85
qwen2-5_1-5b,legal_unit.role,1.0,0.85,0.9189
qwen2-5_3b,document_id.number,0.95,0.95,0.95
qwen2-5_3b,document_id.ig,1.0,0.675,0.806
qwen2-5_3b,contracting_party.name,0.95,0.95,0.95
qwen2-5_3b,contracting_party.cpf_cnpj,1.0,0.975,0.9873
qwen2-5_3b,contracted_party.name,1.0,1.0,1.0
qwen2-5_3b,contracted_party.cpf_cnpj,1.0,0.95,0.9744
qwen2-5_3b,validity,0.95,0.95,0.95
qwen2-5_3b,global_value,0.975,0.975,0.975
qwen2-5_3b,signature.date,0.875,0.175,0.2917
qwen2-5_3b,signature.signatories.contracting_party,1.0,0.875,0.9333
qwen2-5_3b,signature.signatories.contracted_party,1.0,0.95,0.9744
qwen2-5_3b,legal_unit.name,1.0,1.0,1.0
qwen2-5_3b,legal_unit.role,1.0,1.0,1.0
qwen2-5_7b,document_id.number,1.0,1.0,1.0
qwen2-5_7b,document_id.ig,1.0,0.525,0.6885
qwen2-5_7b,contracting_party.name,0.875,0.875,0.875
qwen2-5_7b,contracting_party.cpf_cnpj,1.0,1.0,1.0
qwen2-5_7b,contracted_party.name,1.0,1.0,1.0
qwen2-5_7b,contracted_party.cpf_cnpj,1.0,1.0,1.0
qwen2-5_7b,validity,0.975,0.975,0.975
qwen2-5_7b,global_value,1.0,1.0,1.0
qwen2-5_7b,signature.date,0.9,0.2308,0.3673
qwen2-5_7b,signature.signatories.contracting_party,1.0,1.0,1.0
qwen2-5_7b,signature.signatories.contracted_party,1.0,1.0,1.0
qwen2-5_7b,legal_unit.name,1.0,1.0,1.0
qwen2-5_7b,legal_unit.role,1.0,1.0,1.0
